point_id,area,x,y,infra_1,infra_2,infra_3,infra_4
R00C00,cell_0_0,0.000,0.000,-49.33,-28.33,-15.00,-31.00
R00C01,cell_0_1,0.000,0.600,-43.67,-29.00,-20.00,-33.00
R00C02,cell_0_2,0.000,1.200,-43.33,-29.67,-27.00,-33.00
R00C03,cell_0_3,0.000,1.800,-44.33,-36.33,-30.00,-29.00
R00C04,cell_0_4,0.000,2.400,-49.00,-30.67,-32.00,-30.00
R00C05,cell_0_5,0.000,3.000,-51.67,-38.33,-34.33,-29.00
R00C06,cell_0_6,0.000,3.600,-48.33,-35.00,-32.33,-29.67
R00C07,cell_0_7,0.000,4.200,-49.67,-31.33,-35.67,-28.33
R00C08,cell_0_8,0.000,4.800,-47.00,-35.67,-35.00,-28.00
R00C09,cell_0_9,0.000,5.400,-50.33,-29.33,-39.67,-28.33
R00C10,cell_0_10,0.000,6.000,-45.33,-30.67,-39.33,-26.00
R00C11,cell_0_11,0.000,6.600,-54.33,-30.67,-35.33,-23.67
R00C12,cell_0_12,0.000,7.200,-46.00,-38.67,-40.00,-24.33
R01C00,cell_1_0,0.600,0.000,-49.33,-31.67,-6.00,-29.00
R01C01,cell_1_1,0.600,0.600,-47.67,-26.33,-19.33,-31.67
R01C02,cell_1_2,0.600,1.200,-45.00,-31.33,-22.33,-30.67
R01C03,cell_1_3,0.600,1.800,-45.67,-33.33,-24.67,-32.67
R01C04,cell_1_4,0.600,2.400,-45.00,-33.67,-27.33,-31.00
R01C05,cell_1_5,0.600,3.000,-44.00,-31.33,-31.00,-35.00
R01C06,cell_1_6,0.600,3.600,-47.00,-35.00,-34.33,-27.33
R01C07,cell_1_7,0.600,4.200,-46.33,-35.00,-35.00,-28.67
R01C08,cell_1_8,0.600,4.800,-50.67,-36.33,-36.00,-28.00
R01C09,cell_1_9,0.600,5.400,-47.67,-32.33,-36.67,-25.00
R01C10,cell_1_10,0.600,6.000,-47.67,-31.67,-41.00,-28.33
R01C11,cell_1_11,0.600,6.600,-43.67,-32.67,-37.67,-28.67
R01C12,cell_1_12,0.600,7.200,-49.33,-32.67,-38.33,-26.00
R02C00,cell_2_0,1.200,0.000,-45.33,-31.00,-11.00,-28.67
R02C01,cell_2_1,1.200,0.600,-46.00,-25.00,-25.33,-29.00
R02C02,cell_2_2,1.200,1.200,-46.67,-34.33,-25.67,-31.00
R02C03,cell_2_3,1.200,1.800,-46.00,-36.67,-30.33,-32.00
R02C04,cell_2_4,1.200,2.400,-49.00,-35.00,-32.67,-28.67
R02C05,cell_2_5,1.200,3.000,-46.33,-33.00,-33.33,-31.33
R02C06,cell_2_6,1.200,3.600,-47.00,-40.00,-36.00,-28.00
R02C07,cell_2_7,1.200,4.200,-48.00,-38.33,-38.00,-28.00
R02C08,cell_2_8,1.200,4.800,-45.67,-38.33,-35.67,-27.67
R02C09,cell_2_9,1.200,5.400,-47.00,-31.00,-36.33,-29.00
R02C10,cell_2_10,1.200,6.000,-45.00,-33.67,-41.33,-28.00
R02C11,cell_2_11,1.200,6.600,-43.33,-27.33,-42.00,-27.67
R02C12,cell_2_12,1.200,7.200,-50.33,-33.00,-38.67,-26.00
R03C00,cell_3_0,1.800,0.000,-46.00,-26.00,-19.00,-25.33
R03C01,cell_3_1,1.800,0.600,-47.00,-26.33,-24.33,-33.67
R03C02,cell_3_2,1.800,1.200,-47.00,-32.00,-29.00,-28.33
R03C03,cell_3_3,1.800,1.800,-44.67,-37.33,-29.33,-33.00
R03C04,cell_3_4,1.800,2.400,-43.67,-40.00,-32.67,-28.33
R03C05,cell_3_5,1.800,3.000,-44.67,-30.00,-37.67,-29.67
R03C06,cell_3_6,1.800,3.600,-47.00,-35.00,-36.67,-31.33
R03C07,cell_3_7,1.800,4.200,-47.67,-34.00,-42.67,-26.67
R03C08,cell_3_8,1.800,4.800,-49.00,-35.00,-39.33,-28.00
R03C09,cell_3_9,1.800,5.400,-48.67,-31.00,-39.67,-28.67
R03C10,cell_3_10,1.800,6.000,-46.33,-31.67,-41.67,-31.00
R03C11,cell_3_11,1.800,6.600,-49.67,-29.67,-41.67,-31.33
R03C12,cell_3_12,1.800,7.200,-52.33,-31.33,-44.00,-31.67
R04C00,cell_4_0,2.400,0.000,-47.00,-24.00,-28.33,-27.33
R04C01,cell_4_1,2.400,0.600,-49.33,-26.33,-28.67,-34.00
R04C02,cell_4_2,2.400,1.200,-47.00,-37.67,-30.33,-29.33
R04C03,cell_4_3,2.400,1.800,-46.67,-34.67,-28.33,-29.33
R04C04,cell_4_4,2.400,2.400,-51.00,-44.33,-34.00,-27.00
R04C05,cell_4_5,2.400,3.000,-49.00,-32.67,-34.33,-27.33
R04C06,cell_4_6,2.400,3.600,-48.00,-34.33,-35.67,-27.00
R04C07,cell_4_7,2.400,4.200,-46.33,-32.33,-37.00,-24.33
R04C08,cell_4_8,2.400,4.800,-46.00,-33.33,-40.00,-26.67
R04C09,cell_4_9,2.400,5.400,-55.00,-32.67,-42.33,-28.00
R04C10,cell_4_10,2.400,6.000,-48.00,-37.33,-41.67,-31.33
R04C11,cell_4_11,2.400,6.600,-44.00,-31.00,-41.00,-29.67
R04C12,cell_4_12,2.400,7.200,-49.67,-36.00,-42.33,-30.00
R05C00,cell_5_0,3.000,0.000,-47.00,-27.67,-31.33,-28.67
R05C01,cell_5_1,3.000,0.600,-49.33,-26.33,-27.33,-27.67
R05C02,cell_5_2,3.000,1.200,-48.00,-27.00,-31.67,-27.33
R05C03,cell_5_3,3.000,1.800,-48.33,-38.33,-31.00,-24.33
R05C04,cell_5_4,3.000,2.400,-48.33,-36.00,-36.00,-23.67
R05C05,cell_5_5,3.000,3.000,-46.00,-36.33,-37.33,-30.33
R05C06,cell_5_6,3.000,3.600,-44.67,-30.00,-39.33,-27.67
R05C07,cell_5_7,3.000,4.200,-47.00,-29.67,-40.67,-28.33
